Код регіону,Назва регіону,Кількість перевірок податків - юридичних осіб з питань правильності обчислення/ повноти і своєчасності сплати податку на доходи фізичних осіб/ військового збору та єдиного внеску/ результати яких узгоджено всього,у т.ч. планових ,у т.ч. позапланових,Кількість перевірок самозайнятих осіб з питань дотримання вимог податкового та іншого законодавства/ контроль за дотриманням якого покладено на органи ДФС/ результати яких узгоджено всього,у т.ч. планових ,у т.ч. позапланових,Кількість перевірок громадян з питань дотримання вимог податкового та іншого законодавства/ контроль за дотриманням якого покладено на органи ДФС/ результати яких узгоджено всього,у т.ч. позапланових,Кількість перевірок фізичних осіб щодо дотримання вимог законодавства України з питань державної митної справи/ результати яких узгоджено всього,у т.ч. позапланових
2,Вінницька,49,16,33,331,23,308,64,64,2,2
3,Волинська,29,17,12,161,16,145,0,0,3,3
4,Дніпропетровська,87,45,42,208,25,183,68,68,1,1
5,Донецька,39,12,27,24,2,22,32,32,3,3
6,Житомирська,14,8,6,65,18,47,18,18,1,1
7,Закарпатська,8,7,1,32,11,21,30,30,0,0
8,Запорізька,40,17,23,20,13,7,6,6,1,1
9,Івано-Франківська,8,8,0,39,9,30,38,38,5,5
10,Київська,22,19,3,32,22,10,13,13,0,0
11,Кіровоградська,29,16,13,75,10,65,12,12,0,0
12,Луганська,21,10,11,18,1,17,2,2,0,0
13,Львівська,51,34,17,55,14,41,57,57,1,1
14,Миколаївська,10,3,7,61,14,47,15,15,1,1
15,Одеська,43,17,26,52,18,34,61,61,0,0
16,Полтавська,13,2,11,70,14,56,24,24,0,0
17,Рівненська,27,9,18,206,10,196,21,21,12,12
18,Сумська,27,18,9,33,5,28,14,14,2,2
19,Тернопільська,21,14,7,63,19,44,16,16,0,0
20,Харківська,191,66,125,178,37,141,50,50,4,4
21,Херсонська,33,14,19,24,5,19,94,94,1,1
22,Хмельницька,35,20,15,41,22,19,11,11,0,0
23,Черкаська,26,9,17,29,16,13,20,20,0,0
24,Чернівецька,20,17,3,31,11,20,5,5,0,0
25,Чернігівська,21,16,5,51,15,36,90,90,2,2
26,м. Київ,407,66,341,477,27,450,199,199,2,2
28,Офіс ВПП ДФС,13,13,0,0,0,0,0,0,0,0
99,ДФС,0,0,0,0,0,0,0,0,0,0
ВСЬОГО,,1 284,493,791,2 376,377,1 999,960,960,41,41
